event_time,user_id,event_name,platform,session_id
2025-01-05 13:43:00,754,view_product,web,s92
2025-01-26 16:47:00,833,cancel_request,web,s800
2025-01-21 13:14:00,43,add_to_cart,web,s872
2025-02-17 04:06:00,958,login,web,s730
2025-01-12 00:49:00,818,view_product,web,s1054
2025-01-20 17:24:00,204,login,android,s423
2025-01-30 11:57:00,,add_to_cart,ios,s1154
2025-02-07 04:55:00,634,cancel_request,ios,s465
2025-02-10 02:15:00,535,add_to_cart,ios,s298
2025-01-28 01:31:00,884,add_to_cart,android,s411
2025-01-05 20:38:00,851,cancel_request,web,s135
2025-01-13 22:10:00,604,view_product,web,s762
2025-01-20 07:12:00,991,view_product,ios,s306
2025-02-15 14:51:00,664,view_product,android,s1016
2025-02-19 07:11:00,598,view_product,web,s618
2025-02-05 00:42:00,34,view_product,web,s316
2025-01-26 03:32:00,884,checkout_start,android,s856
2025-01-16 22:40:00,58,login,web,s749
2025-01-19 22:47:00,984,login,ios,s100
2025-02-24 00:52:00,693,add_to_cart,web,s1041
2025-02-01 14:20:00,996,checkout_start,ios,s104
2025-02-24 07:58:00,195,add_to_cart,ios,s31
2025-02-14 14:01:00,611,cancel_request,web,s1021
2025-01-15 09:19:00,260,view_product,android,s548
2025-02-28 06:42:00,147,checkout_start,web,s849
2025-02-11 20:29:00,969,cancel_request,web,s629
2025-02-20 07:40:00,896,add_to_cart,ios,s448
2025-01-17 11:13:00,368,cancel_request,ios,s599
2025-01-29 16:57:00,659,view_product,android,s918
2025-01-13 13:00:00,381,purchase,web,s408
2025-02-27 09:28:00,280,purchase,web,s767
2025-02-18 14:03:00,825,view_product,web,s194
2025-01-10 07:35:00,254,view_product,ios,s463
2025-01-02 13:36:00,728,checkout_start,web,s566
2025-02-05 22:58:00,799,view_product,web,s16
2025-01-17 11:59:00,357,view_product,web,s399
2025-01-28 20:05:00,128,view_product,android,s173
2025-01-30 20:37:00,569,view_product,web,s108
2025-01-07 21:38:00,391,login,web,s812
2025-01-20 17:30:00,695,login,ios,s414
2025-01-13 11:05:00,645,add_to_cart,web,s1067
2025-02-25 03:44:00,533,view_product,web,s615
